Ном		Стпт		Фстрт		Шстр		ндлн		фдлн		шлдн
7015		45		45		0		93		93		0
5667		2		2		0		38		38		0
7105		9		0		0		0		0		0
9723		256		256		0		6		6		0
7216		149		149		0		101		101		0
4505		5		5		0		142		142		0
7648		1		1		0		66		66		0
8552		14		14		0		0		0		0
7430		8		8		0		0		0		0
9755		658		658		0		15		15		0
9387		217		217		0		83		83		0
411		8		8		0		126		40		0
2876		8		8		0		115		115		0
4582		1		1		0		0		0		0
8250		137		137		0		70		70		0
4965		131		131		0		0		0		0
925		3		3		0		0		0		0
1588		11		11		0		84		38		0
3388		2		2		0		123		123		0
5274		56		47		0		14		14		0
3198		6		0		0		47		47		0
5889		8		8		0		30		30		0
9302		5		5		0		0		0		0
8866		522		522		0		136		136		0
5510		132		132		0		190		190		0
1621		5		5		0		90		90		0
3831		50		50		0		81		81		0
3763		1		1		0		43		1		0
6929		383		383		0		137		137		0
4893		335		335		0		46		46		0
243		198		198		0		134		134		0
51		4		4		0		193		42		0
4125		6		6		0		75		75		0
5871		120		120		0		124		124		0
622		1		1		0		112		112		0
6823		149		149		0		189		189		0
665		2		2		0		146		146		0
6853		95		95		0		132		132		0
6345		9		9		0		78		78		0
6812		6		6		0		77		77		0
9913		571		571		0		172		172		0
3033		6		6		0		0		0		0
6803		59		59		0		188		188		0
3433		10		10		0		47		47		0
230		9		9		0		0		0		0
3450		7		0		0		3		1		0
9728		315		315		0		157		157		0
6386		270		270		0		42		42		0
615		7		7		0		58		58		0
5339		262		262		0		0		0		0
1227		98		98		0		160		160		0
831		3		0		0		90		90		0
1815		11		11		0		58		58		0
4377		7		7		0		0		0		0
5132		1		1		0		43		43		0
7476		5		5		0		127		127		0
5373		2		2		0		196		196		0
9876		557		557		0		13		13		0
9831		552		552		0		0		0		0
6261		353		353		0		194		194		0
1234		160		160		0		193		193		0
637		4		0		0		148		148		0
2170		99		99		0		141		141		0
1330		3		3		0		95		95		0
6125		105		101		0		108		108		0
3018		10		10		0		91		91		0
9282		145		145		0		0		0		0
9260		135		135		0		2		2		0
8745		42		42		0		84		84		0
104		5		5		0		0		0		0
1195		5		5		0		37		37		0
932		2		0		0		111		111		0
2913		6		6		0		41		41		0
7587		87		87		0		185		185		0
3699		8		8		0		77		77		0
9689		482		402		0		0		0		0
8128		232		232		0		170		170		0
8042		168		168		0		55		55		0
101		2		2		0		164		164		0
1633		5		5		0		0		0		0
1565		1		1		0		0		0		0
1927		4		4		0		0		0		0
3003		3		0		0		181		181		0
7511		143		143		0		32		31		0
3296		5		5		0		12		12		0
5814		3		3		0		139		139		0
7164		149		149		0		45		45		0
4147		9		9		0		131		131		0
7251		8		8		0		95		95		0
8899		336		336		0		139		16		0
8697		328		328		0		0		0		0
7717		195		195		0		7		5		0
1087		8		8		0		181		181		0
6220		171		171		0		148		4		0
2675		7		7		0		162		162		0
4466		10		10		0		140		140		0
8302		10		10		0		62		62		0
7375		4		4		0		7		7		0
8429		3		0		0		192		192		0
9927		960		959		0		41		41		0
5051		124		121		0		125		125		0
4919		47		47		0		48		48		0
391		3		3		0		40		40		0
4319		9		9		0		112		112		0
3784		9		9		0		0		0		0
9842		818		818		0		141		141		0
5460		91		91		0		146		146		0
366		8		8		0		73		73		0
2381		8		8		0		24		24		0
8343		374		364		0		66		66		0
1766		7		7		0		0		0		0
7719		203		203		0		161		161		0
5987		1		1		0		194		194		0
9317		107		107		0		10		10		0
3186		2		2		0		101		101		0
8999		128		128		0		161		161		0
5426		21		21		0		100		100		0
3166		1		1		0		10		10		0
9617		221		221		0		0		0		0
5430		15		15		0		120		120		0
334		8		8		0		0		0		0
532		4		4		0		0		0		0
8122		205		205		0		16		16		0
1273		11		11		0		185		185		0
6162		3		0		0		0		0		0
9817		623		623		0		194		194		0
9405		224		224		0		147		147		0
349		5		5		0		34		34		0
7475		198		198		0		25		25		0
4366		190		190		0		0		0		0
95		6		6		0		175		175		0
3705		4		4		0		0		0		0
9096		9		9		0		181		181		0
8008		403		403		0		69		69		0
1166		6		6		0		91		91		0
6450		299		299		0		98		98		0
4558		147		147		0		142		104		0
2758		137		137		0		0		0		0
1209		2		0		0		132		132		0
3789		3		3		0		186		4		0
4056		7		7		0		134		134		0
9376		442		442		0		61		24		0
7049		6		6		0		182		182		0
1281		2		2		0		0		0		0
5797		5		5		0		0		0		0
4304		258		258		0		117		117		0
1454		140		140		0		110		110		0
970		11		11		0		125		125		0
1504		3		3		0		15		15		0
6440		357		357		0		80		80		0
1888		191		191		0		166		166		0
190		1		1		0		183		183		0
1601		3		3		0		159		159		0
9219		379		379		0		46		46		0
7363		228		228		0		143		143		0
7233		33		33		0		195		74		0
487		1		1		0		0		0		0
4228		1		1		0		31		31		0
2760		158		158		0		20		20		0
2146		4		4		0		149		149		0
2365		4		4		0		18		18		0
6038		5		5		0		181		181		0
3232		1		1		0		51		51		0
9160		135		135		0		187		187		0
5105		2		2		0		124		124		0
6909		270		270		0		0		0		0
6647		97		97		0		165		165		0
3882		1		1		0		95		95		0
9117		499		499		0		120		55		0
7684		100		100		0		176		176		0
0		8		8		0		0		0		0
5714		4		4		0		89		89		0
7645		10		10		0		48		48		0
7850		382		382		0		109		109		0
7434		157		157		0		177		177		0
519		5		5		0		145		145		0
7143		122		122		0		148		148		0
750		5		5		0		0		0		0
2673		1		1		0		115		115		0
4117		9		9		0		0		0		0
6698		193		193		0		187		187		0
3553		4		4		0		101		101		0
4483		9		9		0		177		177		0
7622		6		6		0		29		29		0
8637		263		263		0		32		32		0
8335		187		183		0		71		71		0
3544		106		106		0		77		77		0
3110		6		6		0		99		99		0
6126		5		5		0		10		10		0
9481		665		665		0		0		0		0
9111		33		33		0		182		182		0
1270		7		7		0		25		2		0
8156		48		48		0		33		33		0
1332		7		0		0		31		31		0
8056		260		260		0		191		191		0
2850		195		195		0		60		60		0
913		1		1		0		191		191		0
6554		5		5		0		85		85		0
8160		652		652		0		5		5		0
7543		97		97		0		63		63		0
2536		11		11		0		79		79		0
7965		479		479		0		169		169		0
2606		258		258		0		54		54		0
2578		106		106		0		151		151		0
1062		5		5		0		29		29		0
1740		5		5		0		94		94		0
7342		289		289		0		183		183		0
6982		203		203		0		84		84		0
2860		112		112		0		86		86		0
2806		4		4		0		108		108		0
7697		6		6		0		0		0		0
9194		291		291		0		145		145		0
8550		191		191		0		99		99		0
4434		4		4		0		152		152		0
5935		6		6		0		179		179		0
9075		186		186		0		0		0		0
7780		180		180		0		0		0		0
5915		2		0		0		173		173		0
7350		9		9		0		4		0		0
6759		3		3		0		0		0		0
8524		9		9		0		129		129		0
8186		328		328		0		120		93		0
6018		104		104		0		123		123		0
1085		4		4		0		93		93		0
8067		311		311		0		16		16		0
7617		112		112		0		198		198		0
506		11		11		0		100		12		0
5773		8		8		0		76		76		0
2774		8		8		0		0		0		0
6334		11		11		0		5		5		0
9140		538		538		0		177		177		0
7329		205		205		0		52		52		0
5266		99		99		0		37		37		0
2512		10		10		0		89		57		0
6897		120		120		0		0		0		0
4491		67		67		0		49		49		0
1624		11		11		0		56		56		0
5685		10		10		0		190		190		0
6184		9		9		0		0		0		0
9128		538		538		0		0		0		0
7112		204		204		0		0		0		0
2024		31		27		0		169		169		0
596		9		9		0		18		18		0
3117		4		4		0		31		31		0
6925		377		377		0		157		157		0
5821		203		203		0		42		42		0
2090		11		11		0		188		156		0
6218		196		196		0		173		173		0
3259		11		11		0		80		80		0
5761		65		65		0		121		121		0
4078		11		11		0		45		45		0
5677		9		9		0		167		167		0
5976		77		77		0		155		155		0
5170		5		5		0		0		0		0
5834		9		9		0		58		58		0
7298		5		5		0		110		110		0
9999		2336		1230		85162		106		48		0
9296		264		264		0		170		170		0
737		5		5		0		177		177		0
2276		4		4		0		17		17		0
6165		145		136		0		67		15		0
2955		9		9		0		127		127		0
6213		145		145		0		114		114		0
4006		6		6		0		134		134		0
6548		11		11		0		188		188		0
3324		9		9		0		178		178		0
9975		1423		1221		9090		10		9		48
4273		7		7		0		195		195		0
114		3		3		0		0		0		0
9935		1087		1087		0		114		114		0
407		4		4		0		124		124		0
8661		203		203		0		122		122		0
1698		11		11		0		182		182		0
4726		7		7		0		183		183		0
9908		923		923		0		162		162		0
9822		557		557		0		39		39		0
2328		141		141		0		194		194		0
838		9		9		0		123		123		0
9523		186		186		0		42		42		0
7588		6		6		0		102		102		0
788		6		6		0		0		0		0
3777		7		7		0		98		98		0
5536		7		7		0		170		170		0
6984		10		10		0		0		0		0
6544		1		1		0		0		0		0
2707		1		1		0		0		0		0
8283		323		323		0		90		90		0
8282		136		136		0		178		178		0
2403		4		0		0		131		7		0
6132		74		74		0		2		2		0
3994		5		5		0		65		65		0
4081		2		2		0		95		95		0
9562		348		348		0		115		115		0
6456		142		142		0		149		149		0
106		7		7		0		127		127		0
7369		41		41		0		169		169		0
745		11		11		0		23		23		0
5200		159		155		0		92		56		0
1484		4		4		0		151		151		0
8660		341		341		0		0		0		0
5639		183		126		0		156		72		0
70		6		6		0		169		120		0
1677		3		3		0		0		0		0
1573		102		102		0		171		171		0
1298		7		7		0		87		80		0
8361		173		173		0		73		73		0
7044		8		8		0		74		74		0
917		5		5		0		0		0		0
3125		151		151		0		19		19		0
1920		1		1		0		144		144		0
4822		7		7		0		111		111		0
8773		126		126		0		195		195		0
8594		111		111		0		14		13		0
1959		3		3		0		101		101		0
9514		552		552		0		0		0		0
8974		44		44		0		20		20		0
672		8		8		0		26		26		0
9435		384		384		0		164		164		0
2480		16		16		0		62		0		0
159		7		7		0		0		0		0
9074		352		352		0		31		19		0
5804		254		254		0		88		88		0
1602		9		9		0		13		13		0
4031		205		205		0		49		49		0
3640		11		0		0		192		192		0
1795		8		8		0		47		37		0
7530		239		239		0		69		3		0
2351		42		42		0		187		187		0
1875		4		4		0		31		31		0
7489		4		4		0		179		179		0
2599		10		0		0		176		176		0
5885		7		7		0		117		117		0
8306		308		308		0		95		73		0
2674		152		152		0		151		151		0
188		3		3		0		139		139		0
7836		71		71		0		139		139		0
842		8		8		0		56		53		0
5844		8		8		0		0		0		0
9114		381		381		0		117		117		0
7983		325		325		0		56		56		0
4352		207		207		0		117		117		0
977		10		10		0		197		197		0
2990		6		6		0		116		116		0
1426		2		2		0		94		94		0
6209		1		0		0		170		170		0
4012		1		1		0		0		0		0
9676		719		719		0		194		194		0
9433		200		200		0		0		0		0
656		11		11		0		0		0		0
1615		2		2		0		38		38		0
3761		2		2		0		190		190		0
7315		201		201		0		128		128		0
2744		2		2		0		153		153		0
5236		7		7		0		191		191		0
4404		11		11		0		132		45		0
7517		214		214		0		37		37		0
4711		13		13		0		198		198		0
3617		5		5		0		0		0		0
6851		131		131		0		0		0		0
4202		128		128		0		0		0		0
3766		2		2		0		125		125		0
4083		7		7		0		0		0		0
9108		601		601		0		101		101		0
6727		241		241		0		177		177		0
1583		6		6		0		82		82		0
2500		1		1		0		137		137		0
4993		159		159		0		81		34		0
3938		12		12		0		137		137		0
3380		3		3		0		0		0		0
8799		415		407		0		182		182		0
2059		178		178		0		29		29		0
1154		9		0		0		166		13		0
1676		2		2		0		119		119		0
8251		371		371		0		36		36		0
6288		312		312		0		54		54		0
4059		236		236		0		75		75		0
205		11		11		0		49		49		0
4024		173		173		0		53		53		0
561		11		11		0		138		77		0
1471		9		9		0		157		157		0
3876		4		4		0		130		130		0
824		5		5		0		107		107		0
1806		7		7		0		25		25		0
2978		6		6		0		89		89		0
6969		6		6		0		17		17		0
8716		132		132		0		129		129		0
2564		9		9		0		0		0		0
7096		7		7		0		121		119		0
4756		9		9		0		84		84		0
6628		10		10		0		0		0		0
9620		524		358		0		192		192		0
8280		337		329		0		177		29		0
2899		147		144		0		185		185		0
1486		6		6		0		138		138		0
8596		240		240		0		0		0		0
4149		10		10		0		186		186		0
8400		212		212		0		27		27		0
7286		111		111		0		92		92		0
4071		67		67		0		43		43		0
1725		11		11		0		48		48		0
3843		8		8		0		92		92		0
5535		1		1		0		71		71		0
7599		160		160		0		54		54		0
5687		151		151		0		0		0		0
3492		4		4		0		143		143		0
6188		10		10		0		0		0		0
5688		146		146		0		46		46		0
5122		10		10		0		134		134		0
8497		247		247		0		122		122		0
7843		88		88		0		158		158		0
4757		1		1		0		86		86		0
6923		2		2		0		134		134		0
9492		347		347		0		61		43		0
7313		112		112		0		0		0		0
21		9		9		0		98		98		0
3173		66		66		0		18		18		0
851		11		11		0		27		27		0
2773		10		10		0		49		49		0
4639		195		195		0		150		150		0
4238		185		185		0		0		0		0
214		9		9		0		39		39		0
794		5		5		0		177		177		0
9370		273		273		0		31		31		0
8547		162		162		0		109		109		0
806		11		11		0		146		146		0
3104		26		26		0		0		0		0
2587		9		9		0		17		17		0
1752		7		7		0		0		0		0
8447		178		155		0		48		48		0
1214		10		10		0		164		38		0
4861		1		1		0		154		154		0
7555		162		162		0		36		36		0
6390		34		34		0		122		122		0
640		2		2		0		28		28		0
2634		4		4		0		0		0		0
5074		119		119		0		0		0		0
4504		1		1		0		108		108		0
8768		9		9		0		184		184		0
8300		473		473		0		119		119		0
1150		5		5		0		0		0		0
6900		385		385		0		80		80		0
2138		20		20		0		179		134		0
1431		8		8		0		10		10		0
3095		9		9		0		0		0		0
6527		234		234		0		151		151		0
3983		204		194		0		28		28		0
1985		4		4		0		190		190		0
4001		3		3		0		140		140		0
5211		127		127		0		0		0		0
2821		5		5		0		0		0		0
2964		1		1		0		124		124		0
3474		5		0		0		29		29		0
7226		240		240		0		134		134		0
4048		186		186		0		48		48		0
196		5		5		0		178		47		0
3347		159		159		0		0		0		0
1596		3		3		0		50		50		0
2304		2		2		0		148		148		0
4751		27		27		0		93		65		0
3901		6		6		0		15		15		0
5387		88		82		0		140		140		0
4982		6		0		0		82		82		0
8860		152		152		0		152		152		0
3533		126		126		0		19		1		0
1049		11		11		0		111		111		0
9972		1053		1053		0		119		119		0
4599		205		120		0		116		116		0
1064		2		2		0		197		118		0
9796		685		685		0		117		117		0
9079		312		312		0		32		13		0
357		10		10		0		0		0		0
6797		128		128		0		181		181		0
3074		121		121		0		0		0		0
2650		7		7		0		105		105		0
5918		10		10		0		0		0		0
9200		501		501		0		175		175		0
2968		4		4		0		185		185		0
3193		11		0		0		0		0		0
7747		477		477		0		24		24		0
5465		207		207		0		152		152		0
2947		2		2		0		169		169		0
3827		11		0		0		135		36		0
5213		6		6		0		191		191		0
3662		6		6		0		50		50		0
7252		319		319		0		158		56		0
4768		7		7		0		149		149		0
6287		165		160		0		152		152		0
5636		160		160		0		0		0		0
112		4		4		0		148		148		0
6765		9		9		0		165		165		0
8226		351		351		0		71		71		0
7450		236		236		0		114		16		0
1292		2		0		0		126		126		0
6938		129		129		0		102		102		0
2180		10		10		0		111		111		0
8286		12		12		0		0		0		0
4733		3		0		0		0		0		0
5895		7		7		0		189		189		0
9912		899		891		0		147		147		0
7297		1		1		0		25		25		0
2106		1		1		0		0		0		0
9233		454		454		0		72		72		0
2115		2		0		0		0		0		0
8502		418		415		0		33		33		0
7979		77		77		0		71		71		0
111		7		7		0		70		70		0
6339		319		319		0		18		16		0
404		10		10		0		98		98		0
93		4		4		0		0		0		0
1996		131		131		0		183		183		0
1445		4		4		0		121		121		0
7813		141		141		0		0		0		0
2909		3		3		0		133		133		0
3017		2		2		0		55		55		0
7620		391		391		0		24		24		0
3607		19		19		0		138		138		0
285		10		10		0		8		8		0
1460		2		2		0		0		0		0
5271		203		203		0		180		180		0
3824		112		112		0		83		83		0
447		10		10		0		96		96		0
2110		11		11		0		126		126		0
2517		5		5		0		154		154		0
3303		4		0		0		60		60		0
9299		689		689		0		187		187		0
3248		16		16		0		125		125		0
2729		7		7		0		9		9		0
8624		571		571		0		109		109		0
4232		4		4		0		138		138		0
2507		4		0		0		0		0		0
5887		139		132		0		166		166		0
3880		100		100		0		32		32		0
3660		69		69		0		31		31		0
2919		5		5		0		64		64		0
7669		477		477		0		87		87		0
5587		104		104		0		0		0		0
1746		8		8		0		71		71		0
4223		40		40		0		54		54		0
2399		5		5		0		35		35		0
7196		457		457		0		16		16		0
2097		3		3		0		64		64		0
5251		274		274		0		174		174		0
3586		126		126		0		144		144		0
3341		3		3		0		113		53		0
6054		11		11		0		0		0		0
9685		825		825		0		66		66		0
5099		8		8		0		47		47		0
